"","Username","Ulasan","Kategori","","","","","","","","","","","","","","","","","","","","","",""
"470","Bayoe Andah","Mantab n cocok utk family nature trip dan memperkenalkan alam ke anak²","positif","","","","","","","","","","","","","","","","","","","","","",""
"471","Fayakhun Imam","dlundung masa pandemi, pengunjung sebagian besar prokes, banyak disediakan tempat cuci tangan, salut utk petugas tetap sehat dalam keceriaan. Saat berfoto masker sementara dilepas usai pake lagi. Salam sehat selalu","positif","","","","","","","","","","","","","","","","","","","","","",""
"472","Ari Setijowati","Bening adem air n udaranya,  untuk anaj2 ada permainan dan taman kelinci, menenangkan suaranya.","positif","","","","","","","","","","","","","","","","","","","","","",""
"473","FideLife Xtion","Tiket murah ..bs wisata piknik atau tenda..lokasi bagus & ada WiFi bayar 5rb..
Kl naik kuda 30rb PP
Jangan lupa protkes ya","positif","","","","","","","","","","","","","","","","","","","","","",""
"474","Danil Firmansyah","Coba ditambah gazebo umum atau joglo umum di sepanjang jalan dari pintu masuk. Jaga2 barangkali di tengah jalan -kembali ke parkiran, atau sebaliknya- turun hujan, bisa jadi tempat berteduh.","netral","","","","","","","","","","","","","","","","","","","","","",""
"475","Anin 29","Bagus bangett. Sederhana, menuju lokasi air terjun nya juga lumayan deket. Daripada kakek bodo, jauh banget... Air nya jernih, seger,  bagus untuk selfi.","positif","","","","","","","","","","","","","","","","","","","","","",""
"476","Linda Sulis","Jalan menuju air terjun sangat mudah dan strategis, fasilitas umum lengkap. Yang pasti dapat pemandang indah dan udara segar🥰 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"477","Ayla Zachrotul Luthfita","Cocok untuk wisata keluarga, disediakan lahan untuk camping, dan ada banyak penjual makanan. 😊 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"478","muhammad Sulaiman","Sejuk, ada taman kelincinya.
Wisata keluarga, buat foto foto juga bagus","positif","","","","","","","","","","","","","","","","","","","","","",""
"479","CatTurnal","disini enak banget
air terjun cukup tinggi …","positif","","","","","","","","","","","","","","","","","","","","","",""
"480","Cobygusto Thetembel","Wajah yang beda dgn yg dulu, cuma parkir mobil hrs bayar 2 kali. Pengelola parkir nya gimana sy kurang paham juga.","negatif","","","","","","","","","","","","","","","","","","","","","",""
"481","Jeffri Cahyono","Air terjun asik bisa buat main air dan cukup dekat dari Surabaya. Fasilitas pendukung seperti toilet, tempat parkir dan warung memadai. Camping ground luas banget, cocok buat nenda saat weekend. …","","","","","","","","","","","","","","","","","","","","","","",""
"482","Kurniasari Dwihadi","Baru pertama kali kesini tp seneng banget.Tempatnya g terlalu susah.Dan pemandangan bagus.Anak2 jg seneng bisa main2 air meskipun dingin banget.","positif","","","","","","","","","","","","","","","","","","","","","",""
"483","Ratna ummu hafiz","Makin nyaman klo main kesana. Jalan menuju ke air terjun sudah tidak terjal lagi, karena sdah ada tangga tangga menuju kesana... Tetap patuhi protokol kesehatan bagi pengunjung yg datang ya... Bagaimanapun kesehatan harus diutamakan. Sudah tersedia banyak tempat cuci tangan disana.. 👍🏻 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"484","F2F channel","20thn yg lalu sy kesn msh jln bebatuan tp skrng benar2 bagus akses menuju air terjun sdh apik tenan jalan di perlebar tempat parkir dekat banget sm lokasi air terjun jd gak capek2 naik ke lokasi. Gak nyesel datang ke dlundung👍👍 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"485","Om Burhan","Camping ground luas
Setiap camping ground punya MCK yang layak
Ada tempat untuk outbond
Jarak dari CG ke Air Terjun dekat","positif","","","","","","","","","","","","","","","","","","","","","",""
"486","Edwarsyah Edo","Wisata Air terjun yang sangat indah dan nyaman.. lokasinya mudah dijangkau, tertata dengan rapi.
Pengaturan parkir mobil dan trafic nya perlu di tingkatkan lagi.","positif","","","","","","","","","","","","","","","","","","","","","",""
"487","Azizah Fajar Budiani","Untuk pengelolaan nya udah bagus sih, cuma pas kesana gilaaa rame bener coyyy jadi gabisa kalo mau foto di air terjun nya udah kek kolam renang bersama wkwk
Saran kalo kesana jangan pas weekend deh …","netral","","","","","","","","","","","","","","","","","","","","","",""
"488","tarie koe","Coban dlundung lokasi trawas
Coban wisata mudah sekali di jangkau. Tempat wisata plus rafting amat sangat aman bagi anak anak juga.
Terdapat tempat camping","positif","","","","","","","","","","","","","","","","","","","","","",""
"489","Hartono Lahut","Lokasinya sangak recomed
Banyak spot foto
Untuk koneksininternet jangan takut di sini di sediakan vocer wifi 5k per HP
Yang suka camp di sini jg sediakan penyewaan tenda","positif","","","","","","","","","","","","","","","","","","","","","",""
"490","Nuri Podjo","Saya sarankan bawa baju hangat klo kesini,, seuuujukkkk nyeeesss","positif","","","","","","","","","","","","","","","","","","","","","",""
"491","Diana Nugz","Kembali kesini setelah 16 thn... Makin bersih dan tertata... Sekarang ada taman kelinci nya juga","positif","","","","","","","","","","","","","","","","","","","","","",""
"492","irfa' asy'at firmansyah","Tempat wana wisata WaterFall di Kecamatan Trawas Mojokerto yang menyajikan pemandangan alam dengan udara sejuk nan mengasyikkan cocok buat travelling santai dengan keluarga dengan akses jalan menanjak menantang adrenalin 😎🤠👍🏼 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"493","Ratna Tri Martono","Wisata alam air terjun yg cukup indah,  asri,  sejuk dan cukup tertata. Ada area camping ground untuk camping ceria. Cuma sayang jalan aksesnya cukup sempit dan menanjak.","netral","","","","","","","","","","","","","","","","","","","","","",""
"494","Siti Afifah Yusfatama","Kecewa banget, soalnya di suruh bayar parkir 2x, padahal di loket sudah di tarik untuk biaya parkir","negatif","","","","","","","","","","","","","","","","","","","","","",""
"495","Samsul Hadi","Entah sudah berapa kali ke wisata alam dlundung ini,tambah bagus.cuma sekarang,parkir motor di depan,jadi lumayan jalan kaki dari gerbang masuk sampai air terjunnya.","positif","","","","","","","","","","","","","","","","","","","","","",""
"496","aldi waluyo","Lokasi wisata alam di trawas dengan hawa yang sejuk","positif","","","","","","","","","","","","","","","","","","","","","",""
"497","Shefira Dewi Setyaningrum","Waktu kesana tiket masuknya 28k untuk 2 orang,parkirnya 3k untuk sepeda motor dan jalan kaki -+300m dari parkiran,tempatnya nya bersih,terawat dan nyaman,recommanded banget👍👍👍 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"498","Bimantoro Yudono","Nyaman buat wisata keluarga, asyiik buat lemah keluarga, luas lokasi parkir, ramah pelayanannya.","positif","","","","","","","","","","","","","","","","","","","","","",""
"499","Hadi Januarso83","Sangat indah dan cocok utk anak2 dan keluarga","positif","","","","","","","","","","","","","","","","","","","","","",""
"500","una aida","Salah satu wisata untuk anak2 .. .senang sekali","positif","","","","","","","","","","","","","","","","","","","","","",""
"501","Nadhifah Salsabila","Suasana sejuk dan bagus,kalau datang lebih pagi masih sepi,harga makanan murah,ada rumah kelinci juga,","positif","","","","","","","","","","","","","","","","","","","","","",""
"502","tety Ayuntina","Bagus dan cocok untuk tempat liburan, udara yang sejuk dan tempat yang terjaga kebersihannya","positif","","","","","","","","","","","","","","","","","","","","","",""
"503","Devina natalia","Seneng banget kesini buat refreshing dan ngopi cantik lol. Udara nya sejuk dan seger, ada sungai kecil yang bersih banget jadi bisa main-main di situ deh.
Kalo ada yang mau ke air terjun nya juga deket kok jaraknya. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"504","IWAN Family","tempatnya jauh lebih baik dari yg dulu terutama akses menuju lokasi,dulu jalannya masih makadaman...di tambah sekarang ada spot² foto dan taman bermain juga camping..","positif","","","","","","","","","","","","","","","","","","","","","",""
"505","merry dwi wijayanti","Tempat patiwisata, lebih enak buat otw sama keluarga. Banyak yg camping, area rumah kelinci, air terjun.","positif","","","","","","","","","","","","","","","","","","","","","",""
"506","Ignasius Lucky","Akses sudah sangat dimudahkan untuk kesana.
Rasanya air terjun ini salah satu yg paling ringan perjalanannya buat dicapai.
Catatan saja jika ke tempat ini baiknya week day saja shg benar2 bisa menikmati keindahan alamnya bukan uyel uyelan manusianya","positif","","","","","","","","","","","","","","","","","","","","","",""
"507","Amna Nurdiana","Tempatnya bagus. Air terjunnya beneran bagus. Di sana bisa buat piknik2 juga. Ada beberapa spot foto bagus, bahkan ada yg foto preweding di sana. Akses jalan ke lokasi agak kecil jadi belum bisa buat bus pariwisata besar.","positif","","","","","","","","","","","","","","","","","","","","","",""
"508","Miftahuda Adam","Suasana sejuk sekali, spot foto bagus dan angle banyak
Air terjunnya deras 👍🏻 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"509","Lidya Maharani","bagus tempatnya dan udah banyak perubahan....cocok buat wisata keluarga berkemah atau sekedar singgah berendam di air terjun","positif","","","","","","","","","","","","","","","","","","","","","",""
